                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.80399,                0.52673,                 1.1053,                0.90037,                0.95976,                0.97525,                0.74549,                 0.9857,                0.55408,                 1.2043,             0.00051177,             0.00051177,             0.00051177
                     73,                0.79327,                0.52422,                 1.0899,                0.90527,                0.95591,                0.97912,                0.74024,                 1.0098,                0.54721,                 1.2194,             0.00049527,             0.00049527,             0.00049527
                     74,                0.78241,                0.52322,                 1.0745,                0.90061,                0.95243,                0.97962,                0.73187,                0.99992,                0.58247,                  1.212,             0.00047876,             0.00047876,             0.00047876
                     75,                0.79845,                0.53228,                 1.0862,                0.90752,                0.97018,                0.97932,                0.74652,                0.98252,                0.56089,                 1.2385,             0.00046226,             0.00046226,             0.00046226
                     76,                0.78044,                0.51619,                 1.0844,                0.90465,                0.97438,                0.97389,                0.72992,                0.97024,                0.54901,                 1.1929,             0.00044576,             0.00044576,             0.00044576
                     77,                0.77892,                0.50246,                 1.0804,                0.90516,                0.97454,                0.97758,                0.72006,                0.98266,                0.56142,                 1.2178,             0.00042925,             0.00042925,             0.00042925
                     78,                0.77802,                0.50655,                 1.0825,                0.88371,                0.98194,                0.98395,                0.74884,                0.99829,                0.55951,                 1.1911,             0.00041275,             0.00041275,             0.00041275
                     79,                0.74525,                0.49719,                 1.0705,                0.89863,                0.95642,                0.98019,                0.75535,                0.98851,                0.55059,                 1.1962,             0.00039625,             0.00039625,             0.00039625
                     80,                0.79624,                0.52146,                 1.0921,                0.90212,                0.95872,                0.98334,                0.76046,                0.98516,                0.55787,                 1.2042,             0.00037974,             0.00037974,             0.00037974
                     81,                0.73358,                0.48443,                 1.0646,                0.90468,                0.96481,                0.98746,                0.73886,                 1.0383,                0.54778,                 1.2752,             0.00036324,             0.00036324,             0.00036324
                     82,                0.75986,                0.48979,                 1.0812,                0.93049,                0.95943,                0.98438,                0.74858,                  1.018,                0.51352,                 1.2196,             0.00034674,             0.00034674,             0.00034674
                     83,                0.75307,                0.49463,                 1.0752,                0.89822,                0.97477,                0.97659,                0.74759,                 1.0307,                0.52905,                 1.2266,             0.00033023,             0.00033023,             0.00033023
                     84,                0.74076,                0.48946,                 1.0567,                 0.9167,                0.97241,                0.98343,                0.74809,                 1.0561,                0.53511,                 1.2461,             0.00031373,             0.00031373,             0.00031373
                     85,                0.73333,                0.47988,                 1.0601,                0.89592,                0.96101,                0.97885,                0.72653,                 1.0154,                0.56353,                 1.2402,             0.00029723,             0.00029723,             0.00029723
                     86,                0.72598,                0.47216,                 1.0615,                0.90969,                 0.9633,                0.97875,                0.74228,                 1.0306,                0.53807,                 1.2725,             0.00028072,             0.00028072,             0.00028072
                     87,                0.74255,                0.48224,                 1.0667,                0.89893,                0.97018,                0.97667,                 0.7461,                 1.0274,                0.52092,                 1.2334,             0.00026422,             0.00026422,             0.00026422
                     88,                0.74944,                0.49302,                 1.0778,                0.90191,                0.95413,                0.97716,                0.74795,                 0.9906,                0.52955,                 1.2285,             0.00024772,             0.00024772,             0.00024772
